Name
Genomics
Scala
Python
Bioinformatics
Creative Writing
Linguistics
Data Visualization
Machine Learning
Strategic Planning
Business Planning
UI Design
UX Design
Distributed Systems
Artificial Intelligence
R
Google Cloud Platform
Microsoft Excel
IBM Watson
Data Science
Julia
Command-Line-Scripting
Apache Spark
Business Model Innovation
JVM Languages
UI Automated Testing
Functional Programming
Relational Database ( PostGreSQL)
NoSQL MultiModel Database ( OrientDB)
Graph Database
Natural Language Processing
Product Strategy
IBM Cloud
OCaml
